num_id|name_landmark|machine_guess|machine_guess_name|score|test_image_url|wiki_url|wiki_summary
0|Robert S. Abbott House|26|John J. Glessner House|0.23966222|https://upload.wikimedia.org/wikipedia/commons/2/2a/Robert_S._Abbott_House%2C_4742_Martin_Luther_King_Drive%2C_Chicago_Cook_County%2C_Illinois.jpg|https://en.wikipedia.org/wiki/Robert_S._Abbott_House|The Robert S. Abbott House is a historic house at 4742 South Martin Luther King Jr. Drive in the Grand Boulevard community area of Chicago, Illinois. Built about 1900, it was home from 1926 until his death of Robert S. Abbott (1870-1940), founder and publisher of the Chicago Defender, the largest-circulation African-American newspaper in the nation. Abbott became one of the few self-made black millionaires in the early 20th century. His home was designated a National Historic Landmark status in 1976.		
1|Adler Planetarium|1|Adler Planetarium|0.893575|http://www.destination360.com/north-america/us/illinois/chicago/images/s/adler-planetarium-chicago.jpg|https://en.wikipedia.org/wiki/Adler_Planetarium|The Adler Planetarium is a public museum dedicated to the study of astronomy and astrophysics. It was founded in 1930 by Chicago business leader Max Adler. It is located on the northeast tip of Northerly Island at the shore of Lake Michigan in Chicago, Illinois. The Adler is America's first planetarium and part of Chicago's Museum Campus, which includes the John G. Shedd Aquarium and The Field Museum. The Adler's mission is to inspire exploration and understanding of the universe.	The Adler Planetarium opened to the public on May 10, 1930. For its design, architect Ernest A. Grunsfeld, Jr. was awarded the gold medal of the Chicago chapter of the American Institute of Architects in 1931. It was declared a National Historic Landmark in 1987.	The Adler is home to three full size theaters, extensive space science exhibitions, and a significant collection of antique scientific instruments and print materials. In addition, the Adler boasts the Doane Observatory, one of the only research-active, public urban observatories. This lakeside observatory is the only place in Chicago where the public can see planets, stars, and galaxies up-close and in person.
2|Auditorium Building|2|Auditorium Building|0.72664905|http://photos.wikimapia.org/p/00/02/24/35/15_full.jpeg|https://en.wikipedia.org/wiki/Auditorium_Building_(Chicago)|The Auditorium Building in Chicago is one of the best-known designs of Louis Sullivan and Dankmar Adler. Completed in 1889, the building is located at the northwest corner of South Michigan Avenue and Congress Street (now Congress Parkway). The building, which when constructed was the largest in the United States and the tallest in Chicago, was designed to be a multi-use complex, including offices, a theater and a hotel. As a young apprentice, Frank Lloyd Wright worked on some of the interior design.	The Auditorium Theatre is part of the Auditorium Building and is located at 50 East Congress Parkway. The theater was the first home of the Chicago Civic Opera and the Chicago Symphony Orchestra. It currently hosts the season performances of the Joffrey Ballet.	The building was added to the National Register of Historic Places on April 17, 1970. It was declared a National Historic Landmark in 1975, and was designated a Chicago Landmark on September 15, 1976. In addition, it is a historic district contributing property for the Chicago Landmark Historic Michigan Boulevard District. Since 1947, the Auditorium Building has been part of Roosevelt University.
3|Bishop Hill Colony|60|Principia College Historic District|0.09976269|http://i.pinimg.com/736x/69/89/10/6989101e80199a09523806c8302075dc.jpg|https://en.wikipedia.org/wiki/Bishop_Hill_Colony|Bishop Hill Colony is a historic district in Bishop Hill, Illinois. Bishop Hill was the site of a utopian religious community which operated as a commune. It was founded in 1846 by Swedish pietist Eric Janson and his followers. The community was named Bishop Hill after the parish of Biskopskulla in Uppland, Sweden.
4|Cahokia Mounds|4|Cahokia Mounds|0.45355508|http://4.bp.blogspot.com/-JA2vfvvlnyE/TVqWnSfCEaI/AAAAAAAAElc/P1nPw2xNUzg/s1600/cahokia+1.jpg|https://en.wikipedia.org/wiki/Cahokia|The Cahokia Mounds State Historic Site  (11 MS 2) is the site of a pre-Columbian Native American city (c. 600–1400 CE) directly across the Mississippi River from modern St. Louis, Missouri. This historic park lies in southern Illinois between East St. Louis and Collinsville. The park covers 2,200 acres (890 ha), or about 3.5 square miles (9 km2), and contains about 80 mounds, but the ancient city was much larger. In its heyday, Cahokia covered about 6 square miles (16 km2) and included about 120 manmade earthen mounds in a wide range of sizes, shapes, and functions.	Cahokia was the largest and most influential urban settlement of the Mississippian culture, which developed advanced societies across much of what is now the central and southeastern United States, beginning more than 1000 years before European contact. Today, Cahokia Mounds is considered the largest and most complex archaeological site north of the great pre-Columbian cities in Mexico.	Cahokia Mounds is a National Historic Landmark and a designated site for state protection. It is also one of only 23 UNESCO World Heritage Sites within the United States. The largest prehistoric earthen construction in the Americas north of Mexico, the site is open to the public and administered by the Illinois Historic Preservation Division and supported by the Cahokia Mounds Museum Society.
5|Carson, Pirie, Scott, and Company Store|62|Reliance Building|0.2810055|https://i.pinimg.com/564x/53/62/ca/5362cabb2a45ff7199d63ed2e5836113.jpg|https://en.wikipedia.org/wiki/Carson%27s|Carson's (formerly Carson Pirie Scott and Co.) is an American chain of department stores located primarily in the Midwestern United States, with over 50 stores under the nameplate.	The Carson Pirie Scott name is strongly associated with the historic Carson, Pirie, Scott and Company Building designed by Louis Sullivan, built in 1899 for the retail firm Schlesinger & Mayer, and expanded and sold to Carson Pirie Scott in 1904.
6|James Charnley House|26|John J. Glessner House|0.1328614|http://i.pinimg.com/736x/45/68/10/4568101d104c4bcfe8e660b5f1849413.jpg|https://en.wikipedia.org/wiki/James_Charnley_House|The James Charnley Residence, also known as the Charnley-Persky House, is a historic house museum at 1365 North Astor Street in the Gold Coast neighborhood of Chicago, Illinois. Built in 1892, it is one of the few surviving residential works of Louis Sullivan, and features major contributions by Frank Lloyd Wright, who was then working as a draftsman in Sullivan's office. The house is operated as a museum and organization headquarters by The Society of Architectural Historians (SAH). The house was designated a National Historic Landmark in 1998,  and is listed on the National Register of Historic Places.
7|Chicago Board of Trade Building|7|Chicago Board of Trade Building|0.6881021|http://c8.alamy.com/comp/D2R892/chicago-board-of-trade-building-downtown-chicago-illinois-united-states-D2R892.jpg|https://en.wikipedia.org/wiki/Chicago_Board_of_Trade_Building|The Chicago Board of Trade Building is a skyscraper located in Chicago, Illinois, United States. It stands at 141 W. Jackson Boulevard at the foot of the LaSalle Street canyon, in the Loop community area in Cook County. Built in 1930 and first designated a Chicago Landmark on May 4, 1977, the building was listed as a National Historic Landmark on June 2, 1978. It was added to the National Register of Historic Places on June 16, 1978. Originally built for the Chicago Board of Trade (CBOT), it is now the primary trading venue for the derivatives exchange, the CME Group, formed in 2007 by the merger of the CBOT and the Chicago Mercantile Exchange. In 2012, the CME Group sold the CBOT Building to a consortium of real estate investors, including GlenStar Properties LLC and USAA Real Estate Company.	The 141 W. Jackson address hosted the former tallest building in Chicago designed by William W. Boyington before the current Holabird & Root structure, which held the same title for over 35 years until being surpassed in 1965 by the Richard J. Daley Center. The current structure is known for its art deco architecture, sculptures and large-scale stone carving, as well as large trading floors. An aluminum, three-story art deco statue of Ceres, goddess of agriculture (particularly grain), caps the building. The building is a popular sightseeing attraction and location for shooting movies, and its owners and management have won awards for efforts to preserve the building and for office management.
8|Church of the Holy Family|8|Church of the Holy Family|0.7848597|http://www.illinoisinfocus.com/uploads/5/6/3/9/5639843/6641155_orig.jpg?808|https://en.wikipedia.org/wiki/Church_of_the_Holy_Family_(Cahokia,_Illinois)|"The Church of the Holy Family (French: Eglise de la Sainte-Famille) is a Roman Catholic church located at 116 Church Street in the St. Clair County, Illinois city of Cahokia. Built beginning in 1786, it is a remarkably unaltered example of the French colonial construction style known as ""poteaux-sur-solle"" (post-on-sill), and one of the few such buildings surviving in North America. It was declared a National Historic Landmark and added to the National Register of Historic Places in 1970.[1] The occupying congregation is the oldest continuously active Catholic Parish in the United States, having been founded in 1699 by Canadian missionaries, and the oldest church west of the Allegheny Mountains. At the invitation of Bishop Edward Braxton, the Institute of Christ the King Sovereign Priest continues to offer Mass in this historic church in the Extraordinary Form. Visitors are also welcome for guided tours in the summer."
9|Columbus Park|9|Columbus Park|0.1757837|https://upload.wikimedia.org/wikipedia/commons/d/da/Columbus_Park_Chicago_boathouse_1.JPG|https://en.wikipedia.org/wiki/Columbus_Park_(Chicago)|Columbus Park is a 135-acre (55 ha) park on the far West Side of Chicago, Illinois in the Austin neighborhood. It is considered the finest work by landscape architect Jens Jensen and was consequently named a National Historic Landmark in 2003.
10|Arthur H. Compton House|25|Henry Gerber House|0.0971642|https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/20080909_Arthur_H._Compton_House.JPG/1200px-20080909_Arthur_H._Compton_House.JPG|https://en.wikipedia.org/wiki/Arthur_H._Compton_House|The Arthur H. Compton House is a historic house at 5637 South Woodlawn Avenue in Chicago, Illinois. Built in 1916, it was the residence of physicist Arthur Compton (1892-1962) from the late 1920s until 1945. Compton discovered the Compton Effect in 1923, proving that light has both a particle and a wave aspect. Compton received the Nobel Prize in Physics in 1927 for this discovery. His house was designated a National Historic Landmark in 1976.
